Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
0,1692882663543262563,1692882663543480781,1212.31,"[0.06841902434825897, 0.2655182480812073, -0.5709118843078613, -0.7738724946975708]","[76.26351165771484, 29.279926300048828, -166.92796325683594]"
1,1692882663579540015,1692882663543480781,1212.315,"[0.06836933642625809, 0.2656002640724182, -0.570906937122345, -0.7738524079322815]","[76.26810455322266, 29.283796310424805, -166.91595458984375]"
2,1692882663587530055,1692882663543480781,1212.32,"[0.06832683086395264, 0.2656897306442261, -0.5709277987480164, -0.7738100290298462]","[76.27713012695312, 29.288410186767578, -166.9028778076172]"
3,1692882663596395389,1692882663543480781,1212.325,"[0.0682985931634903, 0.2657907009124756, -0.5709760189056396, -0.7737422585487366]","[76.29098510742188, 29.29462432861328, -166.88897705078125]"
4,1692882663604048535,1692882663543480781,1212.33,"[0.06828176230192184, 0.26590365171432495, -0.5710497498512268, -0.7736505270004272]","[76.30944061279297, 29.30230140686035, -166.87403869628906]"
5,1692882663613983885,1692882663543480781,1212.335,"[0.06826476752758026, 0.2660314440727234, -0.5711439847946167, -0.7735385298728943]","[76.3320083618164, 29.310949325561523, -166.85687255859375]"
6,1692882663621528714,1692882663543480781,1212.34,"[0.06825622916221619, 0.2661668062210083, -0.571254551410675, -0.7734110951423645]","[76.35751342773438, 29.320600509643555, -166.83912658691406]"
7,1692882663629043041,1692882663543480781,1212.345,"[0.06825550645589828, 0.2663067877292633, -0.5713779926300049, -0.7732716202735901]","[76.38526916503906, 29.33100700378418, -166.8211669921875]"
8,1692882663635478122,1692882663543480781,1212.3500000000001,"[0.06828392297029495, 0.26643621921539307, -0.5715800523757935, -0.7730752825737]","[76.42442321777344, 29.341230392456055, -166.80372619628906]"
9,1692882663643693302,1692882663644998310,1212.355,"[0.06828586012125015, 0.26659807562828064, -0.5717185139656067, -0.772916853427887]","[76.4558334350586, 29.3535213470459, -166.78335571289062]"
10,1692882663651324994,1692882663644998310,1212.3600000000001,"[0.06829085201025009, 0.266763836145401, -0.5718504786491394, -0.7727615833282471]","[76.4864501953125, 29.366477966308594, -166.76318359375]"
11,1692882663658585549,1692882663644998310,1212.365,"[0.06829092651605606, 0.26693102717399597, -0.571961522102356, -0.7726216316223145]","[76.51392364501953, 29.379562377929688, -166.74325561523438]"
12,1692882663665184771,1692882663644998310,1212.3700000000001,"[0.0682840421795845, 0.26709240674972534, -0.5720594525337219, -0.7724939584732056]","[76.53907775878906, 29.391836166381836, -166.72372436523438]"
13,1692882663671350930,1692882663644998310,1212.375,"[0.06828051060438156, 0.2672468423843384, -0.5721352696418762, -0.772384762763977]","[76.56031036376953, 29.404096603393555, -166.70602416992188]"
14,1692882663679703352,1692882663644998310,1212.38,"[0.06826812773942947, 0.2674001157283783, -0.5721901655197144, -0.7722921371459961]","[76.57828521728516, 29.415977478027344, -166.68846130371094]"
15,1692882663685894126,1692882663644998310,1212.385,"[0.06824596971273422, 0.267547070980072, -0.5722275972366333, -0.7722154259681702]","[76.59325408935547, 29.4268741607666, -166.6712646484375]"
16,1692882663694304831,1692882663644998310,1212.39,"[0.06821787357330322, 0.2676851153373718, -0.5722469091415405, -0.77215576171875]","[76.60488891601562, 29.436861038208008, -166.65505981445312]"
17,1692882663700712410,1692882663644998310,1212.395,"[0.06818479299545288, 0.26781219244003296, -0.5722453594207764, -0.7721157073974609]","[76.6126480102539, 29.44585609436035, -166.6402587890625]"
18,1692882663707868982,1692882663644998310,1212.4,"[0.06816922128200531, 0.2681124806404114, -0.5724955201148987, -0.7718274593353271]","[76.67027282714844, 29.46726417541504, -166.60076904296875]"
19,1692882663714662357,1692882663644998310,1212.405,"[0.06812485307455063, 0.26823070645332336, -0.5724643468856812, -0.7718134522438049]","[76.67296600341797, 29.475156784057617, -166.58692932128906]"
20,1692882663720753241,1692882663644998310,1212.41,"[0.0680730938911438, 0.2683371305465698, -0.5724156498908997, -0.7718170881271362]","[76.67227172851562, 29.481765747070312, -166.5741729736328]"
21,1692882663728853173,1692882663644998310,1212.415,"[0.06802334636449814, 0.26843106746673584, -0.5723599791526794, -0.7718300223350525]","[76.6697006225586, 29.487524032592773, -166.56307983398438]"
22,1692882663734939512,1692882663644998310,1212.42,"[0.06796819716691971, 0.26851344108581543, -0.5723018646240234, -0.7718493342399597]","[76.66609954833984, 29.491901397705078, -166.55264282226562]"
23,1692882663742391250,1692882663644998310,1212.425,"[0.06790574640035629, 0.268588662147522, -0.5722401142120361, -0.7718746066093445]","[76.66155242919922, 29.49517250061035, -166.5423126220703]"
24,1692882663749819908,1692882663746529963,1212.43,"[0.06784364581108093, 0.26865154504776, -0.572172999382019, -0.7719077467918396]","[76.65544128417969, 29.497461318969727, -166.53338623046875]"
25,1692882663757847055,1692882663746529963,1212.435,"[0.06777337938547134, 0.2687011957168579, -0.5721031427383423, -0.7719483971595764]","[76.64816284179688, 29.498031616210938, -166.5250244140625]"
26,1692882663764848118,1692882663746529963,1212.44,"[0.06769543141126633, 0.2687499523162842, -0.572031557559967, -0.7719914317131042]","[76.64061737060547, 29.49799346923828, -166.51612854003906]"
27,1692882663770978251,1692882663746529963,1212.445,"[0.06760898232460022, 0.2687910497188568, -0.5719435811042786, -0.7720498442649841]","[76.630126953125, 29.496946334838867, -166.50778198242188]"
28,1692882663779268939,1692882663746529963,1212.45,"[0.06741874665021896, 0.26928889751434326, -0.5718543529510498, -0.7719590067863464]","[76.64823913574219, 29.52922821044922, -166.44735717773438]"
29,1692882663785446626,1692882663746529963,1212.455,"[0.06730632483959198, 0.26929351687431335, -0.57172691822052, -0.7720616459846497]","[76.62958526611328, 29.52373695373535, -166.44155883789062]"
