Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
0,1692887442884836271,1692887442885072877,4676.28,"[0.25530266761779785, 0.20639663934707642, -0.8122240900993347, -0.4821960926055908]","[120.8309326171875, 37.86283874511719, -173.5221405029297]"
1,1692887442930863735,1692887442885072877,4676.285,"[0.2551911473274231, 0.20661284029483795, -0.8124462962150574, -0.4817879796028137]","[120.90614318847656, 37.86081314086914, -173.46688842773438]"
2,1692887442937969639,1692887442885072877,4676.29,"[0.2550685703754425, 0.20682664215564728, -0.8126471042633057, -0.48142239451408386]","[120.97489929199219, 37.85776138305664, -173.41346740722656]"
3,1692887442949830902,1692887442885072877,4676.295,"[0.25493502616882324, 0.2070426493883133, -0.8128145933151245, -0.48111745715141296]","[121.03443908691406, 37.85414123535156, -173.36231994628906]"
4,1692887442958800209,1692887442885072877,4676.3,"[0.25423359870910645, 0.20716188848018646, -0.8132993578910828, -0.4806179404258728]","[121.14285278320312, 37.78261947631836, -173.2721710205078]"
5,1692887442966053538,1692887442885072877,4676.305,"[0.2540819048881531, 0.20738069713115692, -0.8133963942527771, -0.48043951392173767]","[121.18289184570312, 37.7781867980957, -173.2263946533203]"
6,1692887442974091379,1692887442885072877,4676.31,"[0.25391894578933716, 0.20760661363601685, -0.8134475946426392, -0.48034122586250305]","[121.21078491210938, 37.773643493652344, -173.18336486816406]"
7,1692887442980800894,1692887442885072877,4676.3150000000005,"[0.25375717878341675, 0.20784150063991547, -0.8134662508964539, -0.4802936017513275]","[121.2308349609375, 37.77016830444336, -173.14210510253906]"
8,1692887442990231438,1692887442986625314,4676.32,"[0.25359010696411133, 0.20807918906211853, -0.813460648059845, -0.48028844594955444]","[121.24439239501953, 37.76665496826172, -173.1024627685547]"
9,1692887442996924258,1692887442986625314,4676.325,"[0.25342291593551636, 0.20832110941410065, -0.8134381175041199, -0.48031002283096313]","[121.25381469726562, 37.76361083984375, -173.06378173828125]"
10,1692887443004157458,1692887442986625314,4676.33,"[0.2532571852207184, 0.20857317745685577, -0.8134102821350098, -0.4803352653980255]","[121.26290130615234, 37.7613525390625, -173.02420043945312]"
11,1692887443011636540,1692887442986625314,4676.335,"[0.25308793783187866, 0.20882493257522583, -0.8133860230445862, -0.4803561270236969]","[121.27275848388672, 37.758670806884766, -172.98419189453125]"
12,1692887443019410957,1692887442986625314,4676.34,"[0.2529246509075165, 0.209070086479187, -0.8133724927902222, -0.4803582429885864]","[121.28519439697266, 37.75606155395508, -172.94435119628906]"
13,1692887443025779221,1692887442986625314,4676.345,"[0.2527626156806946, 0.20932044088840485, -0.8133683204650879, -0.4803418219089508]","[121.3006820678711, 37.75373077392578, -172.90298461914062]"
14,1692887443034137353,1692887442986625314,4676.35,"[0.2521480619907379, 0.20936156809329987, -0.8135034441947937, -0.4804178476333618]","[121.31158447265625, 37.691429138183594, -172.8596954345703]"
15,1692887443040888117,1692887442986625314,4676.3550000000005,"[0.2520013451576233, 0.20961707830429077, -0.8135175704956055, -0.4803594946861267]","[121.33325958251953, 37.69066619873047, -172.8165740966797]"
16,1692887443049258149,1692887442986625314,4676.36,"[0.25186020135879517, 0.20988047122955322, -0.8135384917259216, -0.4802832007408142]","[121.35782623291016, 37.690799713134766, -172.77194213867188]"
17,1692887443056353447,1692887442986625314,4676.365,"[0.25172123312950134, 0.21014589071273804, -0.8135650753974915, -0.48019495606422424]","[121.3842544555664, 37.691165924072266, -172.72657775878906]"
18,1692887443063170498,1692887442986625314,4676.37,"[0.2515832185745239, 0.2104180008172989, -0.8136016130447388, -0.4800860285758972]","[121.41409301757812, 37.69185256958008, -172.6793975830078]"
19,1692887443070311002,1692887442986625314,4676.375,"[0.2514432370662689, 0.21069462597370148, -0.8136519193649292, -0.479952871799469]","[121.44798278808594, 37.692352294921875, -172.63023376464844]"
20,1692887443076727742,1692887442986625314,4676.38,"[0.25130775570869446, 0.21097737550735474, -0.8137117624282837, -0.47979795932769775]","[121.48531341552734, 37.69349670410156, -172.57949829101562]"
21,1692887443084940589,1692887443087348136,4676.385,"[0.2511751353740692, 0.21125857532024384, -0.8137840628623962, -0.47962114214897156]","[121.52598571777344, 37.69462203979492, -172.5279541015625]"
22,1692887443092269784,1692887443087348136,4676.39,"[0.25103893876075745, 0.2115490585565567, -0.813861072063446, -0.4794338345527649]","[121.56871032714844, 37.69580078125, -172.47451782226562]"
23,1692887443100077313,1692887443087348136,4676.395,"[0.250897616147995, 0.21184422075748444, -0.8139450550079346, -0.47923460602760315]","[121.61360168457031, 37.69658660888672, -172.4195556640625]"
24,1692887443106616833,1692887443087348136,4676.400000000001,"[0.2505449056625366, 0.21207518875598907, -0.8141241669654846, -0.4790128767490387]","[121.66751861572266, 37.67073059082031, -172.3563995361328]"
25,1692887443114175655,1692887443087348136,4676.405,"[0.25039389729499817, 0.21238239109516144, -0.8142104744911194, -0.4788088798522949]","[121.71379852294922, 37.67109680175781, -172.2991180419922]"
26,1692887443121349272,1692887443087348136,4676.41,"[0.25024184584617615, 0.21269159018993378, -0.8142910599708557, -0.47861403226852417]","[121.75871276855469, 37.67152404785156, -172.2420196533203]"
27,1692887443127764072,1692887443087348136,4676.415,"[0.250081866979599, 0.21300986409187317, -0.8143612146377563, -0.47843673825263977]","[121.80137634277344, 37.671791076660156, -172.1842803955078]"
28,1692887443136024179,1692887443087348136,4676.42,"[0.24991999566555023, 0.21333813667297363, -0.8144147396087646, -0.47828409075737]","[121.84046936035156, 37.67265701293945, -172.12655639648438]"
29,1692887443142355431,1692887443087348136,4676.425,"[0.24975703656673431, 0.2136748880147934, -0.8144487738609314, -0.47816094756126404]","[121.87516784667969, 37.67417907714844, -172.06935119628906]"
30,1692887443150714103,1692887443087348136,4676.43,"[0.249589204788208, 0.21401739120483398, -0.8144639730453491, -0.47806933522224426]","[121.90516662597656, 37.675819396972656, -172.01284790039062]"
31,1692887443158034497,1692887443087348136,4676.435,"[0.24941138923168182, 0.21436531841754913, -0.8144622445106506, -0.4780092239379883]","[121.9306869506836, 37.677005767822266, -171.95672607421875]"
32,1692887443165357891,1692887443087348136,4676.4400000000005,"[0.24922850728034973, 0.21472348272800446, -0.8144373893737793, -0.47798624634742737]","[121.95076751708984, 37.678611755371094, -171.9010467529297]"
33,1692887443171960691,1692887443087348136,4676.445,"[0.24903981387615204, 0.2150905877351761, -0.814389705657959, -0.47800078988075256]","[121.96533966064453, 37.680503845214844, -171.845947265625]"
34,1692887443178351849,1692887443087348136,4676.45,"[0.24853840470314026, 0.2153731733560562, -0.814473032951355, -0.4779925048351288]","[121.99153137207031, 37.6436882019043, -171.7783966064453]"
