Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
35,1692885490727334921,1692885490641356075,3137.655,"[-0.05272909253835678, -0.7626631855964661, 0.5586552619934082, 0.32166579365730286]","[160.4933624267578, 33.336830139160156, -78.33841705322266]"
36,1692885490733772903,1692885490641356075,3137.66,"[-0.052792180329561234, -0.7626343965530396, 0.5587018132209778, 0.3216429352760315]","[160.4994659423828, 33.33834457397461, -78.34343719482422]"
37,1692885490740916789,1692885490742618629,3137.665,"[-0.052840154618024826, -0.7626031637191772, 0.5587570667266846, 0.321613073348999]","[160.50448608398438, 33.337921142578125, -78.34944915771484]"
38,1692885490766941289,1692885490742618629,3137.67,"[-0.05288670212030411, -0.7625579833984375, 0.5588222146034241, 0.32159924507141113]","[160.5072479248047, 33.338523864746094, -78.35832214355469]"
39,1692885490778198213,1692885490742618629,3137.675,"[-0.052928533405065536, -0.7625131607055664, 0.558885395526886, 0.3215889036655426]","[160.50929260253906, 33.33912658691406, -78.36719512939453]"
40,1692885490787766885,1692885490742618629,3137.6800000000003,"[-0.05296453461050987, -0.7624675035476685, 0.5589423775672913, 0.3215920627117157]","[160.50965881347656, 33.34062194824219, -78.37620544433594]"
41,1692885490797674649,1692885490742618629,3137.685,"[-0.05299605056643486, -0.762414276599884, 0.5590075850486755, 0.3216000497341156]","[160.50872802734375, 33.34199523925781, -78.38693237304688]"
42,1692885490807037550,1692885490742618629,3137.69,"[-0.05302419140934944, -0.7623559832572937, 0.5590724945068359, 0.3216204047203064]","[160.5061798095703, 33.34418487548828, -78.39865112304688]"
43,1692885490816199371,1692885490742618629,3137.695,"[-0.053054329007864, -0.762293815612793, 0.5591365098953247, 0.32165154814720154]","[160.5027618408203, 33.34747314453125, -78.4110336303711]"
44,1692885490824067970,1692885490742618629,3137.7000000000003,"[-0.05264875292778015, -0.7626681923866272, 0.5590211153030396, 0.3210308253765106]","[160.5352020263672, 33.26714324951172, -78.34797668457031]"
45,1692885490830945624,1692885490742618629,3137.705,"[-0.05266181752085686, -0.7626001834869385, 0.5590842962265015, 0.32108020782470703]","[160.5283203125, 33.270774841308594, -78.36180877685547]"
46,1692885490837160973,1692885490742618629,3137.71,"[-0.05266090855002403, -0.7625279426574707, 0.5591428875923157, 0.3211498558521271]","[160.5182342529297, 33.27522659301758, -78.37663269042969]"
47,1692885490843387481,1692885490843796433,3137.715,"[-0.052654825150966644, -0.762450098991394, 0.5591996908187866, 0.32123684883117676]","[160.5059356689453, 33.28083419799805, -78.39258575439453]"
48,1692885490850211323,1692885490843796433,3137.7200000000003,"[-0.05264054611325264, -0.7623709440231323, 0.559253454208374, 0.3213331997394562]","[160.49203491210938, 33.286712646484375, -78.40888214111328]"
49,1692885490856275830,1692885490843796433,3137.725,"[-0.05262284725904465, -0.7622881531715393, 0.5593108534812927, 0.32143282890319824]","[160.477294921875, 33.292537689208984, -78.42603302001953]"
50,1692885490862486652,1692885490843796433,3137.73,"[-0.05260354280471802, -0.7622032761573792, 0.5593651533126831, 0.32154253125190735]","[160.46148681640625, 33.299171447753906, -78.44351959228516]"
